CRASH_RECORD_ID,CRASH_DATE,ROAD_DEFECT,LATITUDE,LONGITUDE,LOCATION
7f59b404516260f36a10d26aa1c4af08a6dc580a0ef29b6a2320a5be152d7468de6500b08fa8095623060fe86b76e6cc3c253204cf0cbe2650f1dd1b6430d732,10/14/2016 07:00:00 PM,"RUT, HOLES",41.793492646,-87.61187597,POINT (-87.611875970136 41.793492645897)
818108b45c02c6de62525744c2a1385aaed057225f31e7055da53203ec51ee8ad189c75b43f6bb83dd269d42dc0910a1158179193f3ec84f4e7a1cc12678bdf5,05/04/2020 07:25:00 AM,"RUT, HOLES",41.910943878,-87.626392797,POINT (-87.626392796579 41.910943878451)
80e597e9e4e7a1d6a3a10f5c554c1c7e4ecf341fb548be684331c551d31a94c9595c36093a4e3a91cf41950d631b242c44fb6e694f2dd5b6d4515b6d3531875d,01/08/2022 03:19:00 AM,"RUT, HOLES",41.876278116,-87.654643738,POINT (-87.654643737654 41.876278115758)
8072af71d5cc3b38a0445f2e16275192f5c71e600fc66b3f758f19d785f811a9d473360cc8a6b7a8144f05042ecb3dcf57b25ee7b2ba577e14331b80c86fe811,05/25/2019 03:00:00 PM,"RUT, HOLES",41.884325626,-87.703864152,POINT (-87.703864151691 41.884325626424)
7fca323763a79a0a544460fbf6664a3fda1f51513c18777eb10f15c5f7d11823be233b1235be2034f2150d75354e0f3d7864dec0e6de0395f52e5374f893c038,05/26/2017 06:30:00 PM,"RUT, HOLES",41.965428637,-87.657656062,POINT (-87.657656061859 41.965428637116)
7ed9233117dcbe4d90f395ec4c5b9dc33e61552f7aeb14cdcba86d123bcbc211fb241bd7eb1f99404f4b9cbf9a2b3c847d0ec5edddb67f254c22c89f1715592d,08/09/2018 02:30:00 PM,"RUT, HOLES",41.778421336,-87.702976058,POINT (-87.702976058137 41.77842133639)
800612cd150b63fcf834261249b2047eb2286300abbf55e2ca7a893e901aed0a73b1ba266b35f99ba4daac792dc49a62ba1e127fb75e15199b654b3c79a86396,03/19/2019 04:55:00 PM,"RUT, HOLES",41.904469998,-87.733859277,POINT (-87.733859277481 41.904469998435)
800b369a60557dc7e8583d9bfdc351b85abc0a4c055ce2cbc461d5fc61b79e4f8a8e18a7ddac4468be1d5078e4af3d8481544db008bf46d23a7d7dd170615b50,05/26/2019 02:30:00 PM,"RUT, HOLES",41.909764527,-87.743376296,POINT (-87.743376295706 41.909764527033)
81ce30f75bf3a14312d8d0a8fff5a6c73ceab25bf90e9b333f7989b27ac19d19102c1f75e88cc640d1d92ee3e7aa285788f30a3f60b6d19c3eb0469ba7584804,03/17/2019 10:45:00 AM,"RUT, HOLES",41.690968905,-87.661411076,POINT (-87.661411076452 41.690968904548)
804307ae530d750ceab93b280a4105ce28566ba77aafbea72fe246c2e227d529a6c33ab77ef3ec901ff6d6b08440531cf926831870c31c2aecea9d556009af7a,06/17/2020 05:52:00 AM,"RUT, HOLES",41.892392212,-87.692131935,POINT (-87.692131934729 41.892392212237)
