CRASH_RECORD_ID,CRASH_DATE,ROAD_DEFECT,LATITUDE,LONGITUDE,LOCATION
9574e524255ab4ace95dfd7d0503db1ef9ebe03acf0e4350ea37baf2c232b70cce66e9bcdc0d874d2729736e384903e190be3a790c698ae9202dc32d50e8a495,02/16/2022 06:00:00 PM,"RUT, HOLES",41.92616072,-87.631514665,POINT (-87.631514664826 41.926160719812)
7a7dd3cb1738b09f696368c323ce6731a291da9ffb86454892aca935ac622222eada2a85612b6ae8f65b58cd4bd76eeb26eabd20f363ffc887aa565849f7fa48,02/28/2022 05:55:00 AM,"RUT, HOLES",41.872680932,-87.67670729,POINT (-87.676707290309 41.872680932457)
12fc7b92eeddad45e9d8318ab00d76729b9126496aca08acc096460f1069e0e0ee9f26a90ecd0c0dd5aca123f965c140a5590bcbec3ce14626292daf7c44ae44,02/17/2022 09:00:00 PM,"RUT, HOLES",41.990906317,-87.670114493,POINT (-87.670114492663 41.99090631734)
3e7f3ab10442f6dd175ddc35c501e390547b5d04b07263a4bde5472c8769b7aeeb8799e0f4a47368029b29969b2f8772676d84e5bd5c40d8e2b30bfebabf5363,02/17/2022 03:45:00 AM,"RUT, HOLES",41.917566824,-87.700523685,POINT (-87.700523685217 41.917566824309)
a9d54a8e4486507cb333fbea22603b1c4dd76aa80c493dce5bf24f29e371ff2b8fb08b61034c536f13b9410b0bc08255a644ba2ea4c4fac394f272c58a5fb381,02/17/2022 05:15:00 PM,"RUT, HOLES",41.813712225,-87.688480937,POINT (-87.68848093685 41.813712224749)
c0c966792e7cb3a876012a5d834d395e8c1d77a4645e254bd8448a97ace3eb4b7263931ab2510ebc19f63ee2add8acd1082c05ebf5bd5eb116da9f876b19e48b,03/04/2022 06:46:00 PM,"RUT, HOLES",41.755134725,-87.728351633,POINT (-87.728351633424 41.755134724568)
58a0bb5ba7b66f713bf6df80edb454a9505cf6dce82ad88e3cb1b2b56d95ecd6b5e2c407ecea0fcb602d136aec91e0d410b34418dcd29ce3d9ab6284bb55066c,02/17/2022 11:30:00 AM,"RUT, HOLES",41.867059628,-87.645259416,POINT (-87.645259415918 41.867059628321)
664d72f57a869fbea86ede37bc2e617e3458a89f19b4d1336faffd01cf73dab9fa6b2ce51a6e94d10d5d283837075c65c926d01fc6ac83670377e08dbf67cc50,03/02/2022 03:30:00 PM,"RUT, HOLES",41.787039075,-87.637812728,POINT (-87.6378127282 41.787039074742)
62185b7d6dfe2ef5635dfa1578771a1539248ce6438882f10fef2904fc40cfdb529c669e02098bf02ee920993775a4d04b508ddaffd25da4bcc378cf8a8a7279,03/04/2022 09:15:00 AM,"RUT, HOLES",41.936620006,-87.634053484,POINT (-87.634053483713 41.936620005711)
594b3640071efba999de4c30f9eac841e23e33b6c3bdb03875f98ebcf8e177d13874e03695f59305540e8ba97abdcd02b08a839a34d5ce2bedd7f4feb647e4d1,02/19/2022 12:00:00 PM,"RUT, HOLES",41.807733311,-87.725875884,POINT (-87.725875883696 41.80773331076)
